site_no,site_name,timestamp_utc,flow_cfs
1632000,"N F SHENANDOAH RIVER AT COOTES STORE, VA",2025-11-02 16:45:00+00:00,13.9
1632000,"N F SHENANDOAH RIVER AT COOTES STORE, VA",2025-11-02 17:00:00+00:00,13.9
1632000,"N F SHENANDOAH RIVER AT COOTES STORE, VA",2025-11-02 17:15:00+00:00,13.9
1632082,"LINVILLE CREEK AT BROADWAY, VA",2025-11-02 16:30:00+00:00,10.6
1632082,"LINVILLE CREEK AT BROADWAY, VA",2025-11-02 16:45:00+00:00,10.6
1632082,"LINVILLE CREEK AT BROADWAY, VA",2025-11-02 17:00:00+00:00,10.6
1632082,"LINVILLE CREEK AT BROADWAY, VA",2025-11-02 17:15:00+00:00,10.6
1632082,"LINVILLE CREEK AT BROADWAY, VA",2025-11-02 17:30:00+00:00,10.6
1632082,"LINVILLE CREEK AT BROADWAY, VA",2025-11-02 17:45:00+00:00,10.6
1632900,"SMITH CREEK NEAR NEW MARKET, VA",2025-11-02 16:30:00+00:00,21.8
1632900,"SMITH CREEK NEAR NEW MARKET, VA",2025-11-02 16:45:00+00:00,21.8
1632900,"SMITH CREEK NEAR NEW MARKET, VA",2025-11-02 17:00:00+00:00,21.8
1633000,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",2025-11-02 16:30:00+00:00,112.0
1633000,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",2025-11-02 16:45:00+00:00,112.0
1633000,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",2025-11-02 17:00:00+00:00,109.0
1633000,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",2025-11-02 17:15:00+00:00,109.0
1633000,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",2025-11-02 17:30:00+00:00,106.0
1633000,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",2025-11-02 17:45:00+00:00,106.0
1634000,"N F SHENANDOAH RIVER NEAR STRASBURG, VA",2025-11-02 16:30:00+00:00,181.0
1634000,"N F SHENANDOAH RIVER NEAR STRASBURG, VA",2025-11-02 16:45:00+00:00,181.0
1634000,"N F SHENANDOAH RIVER NEAR STRASBURG, VA",2025-11-02 17:00:00+00:00,181.0
1634000,"N F SHENANDOAH RIVER NEAR STRASBURG, VA",2025-11-02 17:15:00+00:00,181.0
1634000,"N F SHENANDOAH RIVER NEAR STRASBURG, VA",2025-11-02 17:30:00+00:00,181.0
1634500,"CEDAR CREEK NEAR WINCHESTER, VA",2025-11-02 16:30:00+00:00,18.4
1634500,"CEDAR CREEK NEAR WINCHESTER, VA",2025-11-02 16:45:00+00:00,18.4
1634500,"CEDAR CREEK NEAR WINCHESTER, VA",2025-11-02 17:00:00+00:00,18.4
1634500,"CEDAR CREEK NEAR WINCHESTER, VA",2025-11-02 17:15:00+00:00,18.4
1634500,"CEDAR CREEK NEAR WINCHESTER, VA",2025-11-02 17:30:00+00:00,18.4
1634500,"CEDAR CREEK NEAR WINCHESTER, VA",2025-11-02 17:45:00+00:00,18.4
1635500,"PASSAGE CREEK NEAR BUCKTON, VA",2025-11-02 16:30:00+00:00,12.7
1635500,"PASSAGE CREEK NEAR BUCKTON, VA",2025-11-02 16:45:00+00:00,12.7
1635500,"PASSAGE CREEK NEAR BUCKTON, VA",2025-11-02 17:00:00+00:00,12.7
1635500,"PASSAGE CREEK NEAR BUCKTON, VA",2025-11-02 17:15:00+00:00,12.7
1635500,"PASSAGE CREEK NEAR BUCKTON, VA",2025-11-02 17:30:00+00:00,12.7
1635500,"PASSAGE CREEK NEAR BUCKTON, VA",2025-11-02 17:45:00+00:00,12.7
1636316,"SPOUT RUN AT RT 621 NEAR MILLWOOD, VA",2025-11-02 16:30:00+00:00,6.52
1636316,"SPOUT RUN AT RT 621 NEAR MILLWOOD, VA",2025-11-02 16:45:00+00:00,6.52
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 16:30:00+00:00,87.4
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 16:35:00+00:00,87.4
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 16:40:00+00:00,87.4
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 16:45:00+00:00,87.4
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 16:50:00+00:00,87.4
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 16:55:00+00:00,87.4
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 17:00:00+00:00,87.4
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 17:05:00+00:00,85.9
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 17:10:00+00:00,85.9
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 17:15:00+00:00,85.9
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 16:30:00+00:00,4.6
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 16:35:00+00:00,4.6
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 16:40:00+00:00,4.6
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 16:45:00+00:00,4.6
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 16:50:00+00:00,4.6
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 16:55:00+00:00,4.6
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 17:00:00+00:00,4.6
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 17:05:00+00:00,4.6
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 17:10:00+00:00,4.6
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 17:15:00+00:00,4.6
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 17:20:00+00:00,4.6
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 17:25:00+00:00,4.6
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 17:30:00+00:00,4.6
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 17:35:00+00:00,4.6
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 17:40:00+00:00,4.6
1638350,"S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD, VA",2025-11-02 17:45:00+00:00,4.6
1638420,"N F CATOCTIN CREEK AT RT 681 NEAR WATERFORD, VA",2025-11-02 16:30:00+00:00,6.42
1638420,"N F CATOCTIN CREEK AT RT 681 NEAR WATERFORD, VA",2025-11-02 16:45:00+00:00,6.42
1638420,"N F CATOCTIN CREEK AT RT 681 NEAR WATERFORD, VA",2025-11-02 17:00:00+00:00,6.05
1638420,"N F CATOCTIN CREEK AT RT 681 NEAR WATERFORD, VA",2025-11-02 17:15:00+00:00,6.42
1638480,"CATOCTIN CREEK AT TAYLORSTOWN, VA",2025-11-02 16:30:00+00:00,7.6
1638480,"CATOCTIN CREEK AT TAYLORSTOWN, VA",2025-11-02 16:45:00+00:00,7.6
1638480,"CATOCTIN CREEK AT TAYLORSTOWN, VA",2025-11-02 17:00:00+00:00,7.14
1638480,"CATOCTIN CREEK AT TAYLORSTOWN, VA",2025-11-02 17:15:00+00:00,7.14
1638480,"CATOCTIN CREEK AT TAYLORSTOWN, VA",2025-11-02 17:30:00+00:00,7.14
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-02 16:30:00+00:00,1.3
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-02 16:35:00+00:00,1.3
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-02 16:40:00+00:00,1.3
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-02 16:45:00+00:00,1.3
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-02 16:50:00+00:00,1.3
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-02 16:55:00+00:00,1.3
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-02 17:00:00+00:00,1.3
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-02 17:05:00+00:00,1.3
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-02 17:10:00+00:00,1.3
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-02 17:15:00+00:00,1.3
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-02 17:20:00+00:00,1.3
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-02 17:25:00+00:00,1.3
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-02 17:30:00+00:00,1.3
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-02 17:35:00+00:00,1.3
1643590,"LIMESTONE BRANCH NEAR LEESBURG, VA",2025-11-02 17:40:00+00:00,1.3
1643700,"GOOSE CREEK NEAR MIDDLEBURG, VA",2025-11-02 16:30:00+00:00,14.7
1643700,"GOOSE CREEK NEAR MIDDLEBURG, VA",2025-11-02 16:45:00+00:00,14.7
1643805,"N F GOOSE CREEK AT RT 729 NEAR LINCOLN, VA",2025-11-02 16:30:00+00:00,3.73
1643805,"N F GOOSE CREEK AT RT 729 NEAR LINCOLN, VA",2025-11-02 16:45:00+00:00,3.73
1643805,"N F GOOSE CREEK AT RT 729 NEAR LINCOLN, VA",2025-11-02 17:00:00+00:00,3.73
1643805,"N F GOOSE CREEK AT RT 729 NEAR LINCOLN, VA",2025-11-02 17:15:00+00:00,3.73
1643880,"BEAVERDAM CREEK AT RT 734 NEAR MOUNTVILLE, VA",2025-11-02 16:30:00+00:00,5.34
1643880,"BEAVERDAM CREEK AT RT 734 NEAR MOUNTVILLE, VA",2025-11-02 16:35:00+00:00,5.34
1643880,"BEAVERDAM CREEK AT RT 734 NEAR MOUNTVILLE, VA",2025-11-02 16:40:00+00:00,5.34
