site_no,site_name,timestamp_utc,flow_cfs,p90_flow_cfs,ratio,high_flow,region
1626850,"SOUTH RIVER NEAR DOOMS, VA",2025-11-02 16:45:00+00:00,89.3,237.90000000000003,0.3753678015973097,False,north
1627500,"SOUTH RIVER AT HARRISTON, VA",2025-11-02 16:30:00+00:00,106.0,324.1,0.32705954952175254,False,north
1627500,"SOUTH RIVER AT HARRISTON, VA",2025-11-02 16:45:00+00:00,106.0,324.1,0.32705954952175254,False,north
1627500,"SOUTH RIVER AT HARRISTON, VA",2025-11-02 17:00:00+00:00,106.0,324.1,0.32705954952175254,False,north
1627500,"SOUTH RIVER AT HARRISTON, VA",2025-11-02 17:15:00+00:00,106.0,324.1,0.32705954952175254,False,north
1627500,"SOUTH RIVER AT HARRISTON, VA",2025-11-02 17:30:00+00:00,106.0,324.1,0.32705954952175254,False,north
1627500,"SOUTH RIVER AT HARRISTON, VA",2025-11-02 17:45:00+00:00,104.0,324.1,0.3208886146251157,False,north
1628500,"S F SHENANDOAH RIVER NEAR LYNNWOOD, VA",2025-11-02 16:30:00+00:00,315.0,1354.000000000001,0.23264401772525833,False,north
1628500,"S F SHENANDOAH RIVER NEAR LYNNWOOD, VA",2025-11-02 16:45:00+00:00,315.0,1354.000000000001,0.23264401772525833,False,north
1628500,"S F SHENANDOAH RIVER NEAR LYNNWOOD, VA",2025-11-02 17:00:00+00:00,315.0,1354.000000000001,0.23264401772525833,False,north
1628500,"S F SHENANDOAH RIVER NEAR LYNNWOOD, VA",2025-11-02 17:15:00+00:00,315.0,1354.000000000001,0.23264401772525833,False,north
1628500,"S F SHENANDOAH RIVER NEAR LYNNWOOD, VA",2025-11-02 17:30:00+00:00,315.0,1354.000000000001,0.23264401772525833,False,north
1628500,"S F SHENANDOAH RIVER NEAR LYNNWOOD, VA",2025-11-02 17:45:00+00:00,315.0,1354.000000000001,0.23264401772525833,False,north
1629500,"S F SHENANDOAH RIVER NEAR LURAY, VA",2025-11-02 16:30:00+00:00,529.0,1753.000000000001,0.30176839703365643,False,north
1629500,"S F SHENANDOAH RIVER NEAR LURAY, VA",2025-11-02 16:45:00+00:00,541.0,1753.000000000001,0.3086138049058755,False,north
1629500,"S F SHENANDOAH RIVER NEAR LURAY, VA",2025-11-02 17:00:00+00:00,547.0,1753.000000000001,0.312036508841985,False,north
1629500,"S F SHENANDOAH RIVER NEAR LURAY, VA",2025-11-02 17:15:00+00:00,553.0,1753.000000000001,0.3154592127780945,False,north
1629500,"S F SHENANDOAH RIVER NEAR LURAY, VA",2025-11-02 17:30:00+00:00,547.0,1753.000000000001,0.312036508841985,False,north
1629500,"S F SHENANDOAH RIVER NEAR LURAY, VA",2025-11-02 17:45:00+00:00,547.0,1753.000000000001,0.312036508841985,False,north
1631000,"S F SHENANDOAH RIVER AT FRONT ROYAL, VA",2025-11-02 16:30:00+00:00,782.0,2049.0000000000014,0.3816495851634941,False,north
