site_no,site_name,timestamp_utc,flow_cfs,latitude,longitude
01615000,"OPEQUON CREEK NEAR BERRYVILLE, VA",2025-11-17 16:45:00+00:00,6.78,39.1747222,-78.0783333
01615000,"OPEQUON CREEK NEAR BERRYVILLE, VA",2025-11-17 17:00:00+00:00,6.78,39.1747222,-78.0783333
01615000,"OPEQUON CREEK NEAR BERRYVILLE, VA",2025-11-17 17:15:00+00:00,6.78,39.1747222,-78.0783333
01615000,"OPEQUON CREEK NEAR BERRYVILLE, VA",2025-11-17 17:30:00+00:00,6.78,39.1747222,-78.0783333
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-16 23:30:00+00:00,2.7,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-16 23:45:00+00:00,2.7,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 00:00:00+00:00,2.7,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 00:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 00:30:00+00:00,2.7,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 00:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 01:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 01:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 01:30:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 01:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 02:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 02:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 02:30:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 02:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 03:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 03:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 03:30:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 03:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 04:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 04:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 04:30:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 04:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 05:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 05:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 05:30:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 05:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 06:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 06:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 06:30:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 06:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 07:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 07:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 07:30:00+00:00,2.53,39.19259167,-78.0686306
